,precision,recall,f1-score,support
2,0.49618261140542225,0.47055781307720723,0.483030601797429,13535.0
20,0.43116168563211205,0.49497559575078953,0.46087014636102386,13932.0
23,0.4506946025962195,0.4210041128917884,0.43534372135655364,14102.0
26,0.4000772797527048,0.3741958800144561,0.38670401493930906,13835.0
29,0.5141634399836967,0.530264817150063,0.5220900155199172,14274.0
47,0.5575718849840255,0.6356351981351981,0.5940499693648308,13728.0
65,0.5660178853235139,0.5488595788092983,0.557306696263411,13723.0
68,0.5574095854160541,0.5023184949655538,0.5284320557491289,15096.0
accuracy,0.49711739808420585,0.49711739808420585,0.49711739808420585,0.49711739808420585
macro avg,0.4966598718867187,0.4972264363492943,0.49597840266895044,112225.0
weighted avg,0.49711895764680647,0.49711739808420585,0.4961505034267657,112225.0
