,precision,recall,f1-score,support
2,0.21110673493501378,0.23760620613224973,0.22357398588758734,13535.0
20,0.23590725377579239,0.15920183749641115,0.19010885403274191,13932.0
23,0.24959289415247965,0.23911501914622038,0.24424163407214255,14102.0
26,0.23175822340958424,0.1003252620166245,0.1400322841000807,13835.0
29,0.24618447246184472,0.28590444164214657,0.2645619266798483,14274.0
47,0.3013198080279232,0.4024621212121212,0.344623253493014,13728.0
65,0.23744505751426168,0.18501785323908768,0.207978374836173,13723.0
68,0.2714374666429461,0.40427927927927926,0.32480042575838214,15096.0
accuracy,0.2534372911561595,0.2534372911561595,0.2534372911561595,0.2534372911561595
macro avg,0.24809398886498069,0.2517390025205175,0.24249009235749625,112225.0
weighted avg,0.24840060179458626,0.2534372911561595,0.2434478240863285,112225.0
