,precision,recall,f1-score,support
3,0.372749949437066,0.381916142847275,0.3772773797338792,14477.0
21,0.3004339913201736,0.15823624834095265,0.20729292441439265,13562.0
24,0.2948838591451637,0.42797584818861417,0.34917749171627127,13912.0
27,0.32124199838128176,0.33381757015062313,0.3274090738657668,13079.0
30,0.34779240898528274,0.3805084745762712,0.36341562120598947,14160.0
48,0.4258259100792593,0.4485408200960473,0.43688831318364996,13535.0
66,0.4158704883227176,0.35189759712553337,0.3812188298260552,13359.0
69,0.4313671061762665,0.4106494021272379,0.4207533759772566,15137.0
accuracy,0.3629800127673731,0.3629800127673731,0.3629800127673731,0.3629800127673731
macro avg,0.36377071398090144,0.3616927629315693,0.3579291262404076,111221.0
weighted avg,0.364573660526237,0.3629800127673731,0.3590507774987998,111221.0
