,precision,recall,f1-score,support
1,0.2782948490230906,0.29737321591254173,0.2875178918780049,13172.0
19,0.24849023090586145,0.1058085009832098,0.14841926586038617,13222.0
22,0.2931958428061059,0.26730327929528463,0.2796515004840271,13509.0
25,0.23198878343399482,0.1632885447506263,0.19166852305635998,13173.0
28,0.3061721991701245,0.3973211280877701,0.3458417552801945,14857.0
46,0.2910864328103884,0.3469187675070028,0.3165596344931148,14280.0
64,0.3415742931871964,0.4070198872068863,0.3714363106927609,13476.0
67,0.26747668833003674,0.3023122125702606,0.2838295703277263,15656.0
accuracy,0.2887691409582828,0.2887691409582828,0.2887691409582828,0.2887691409582828
macro avg,0.28228491495834984,0.28591819203919777,0.2781155565090718,111345.0
weighted avg,0.2825829026907517,0.2887691409582828,0.27985092095728875,111345.0
