,precision,recall,f1-score,support
3,0.4449163790814972,0.46307936727222493,0.45381621255711624,14477.0
21,0.3899790436273576,0.301872880106179,0.3403158769742311,13562.0
24,0.42288741069228875,0.4935307648073606,0.45548626774578743,13912.0
27,0.3978222528947167,0.39666641180518386,0.39724349157733535,13079.0
30,0.4947314503146495,0.47747175141242937,0.48594839358873,14160.0
48,0.5324863633225161,0.5697820465459918,0.5505032479120565,13535.0
66,0.48145528838598145,0.45864211393068344,0.4697718995591336,13359.0
69,0.5048055215119654,0.5170112968223558,0.5108355091383812,15137.0
accuracy,0.4610460254807995,0.4610460254807995,0.4610460254807995,0.4610460254807995
macro avg,0.4586354637288716,0.4597570790878011,0.4579901123815964,111221.0
weighted avg,0.4594625093597326,0.4610460254807995,0.4590664032662672,111221.0
