,precision,recall,f1-score,support
2,0.3878977820636451,0.3566309567787218,0.3716078370991955,13535.0
20,0.30493061396131205,0.4163795578524261,0.35204515111057166,13932.0
23,0.37266922094508304,0.3103815061693377,0.3386853406584904,14102.0
26,0.28071406298721546,0.26028189374774124,0.27011214041930764,13835.0
29,0.38110183639399,0.3998178506375228,0.3902355636090123,14274.0
47,0.4434144217009892,0.5191579254079254,0.4783060971108352,13728.0
65,0.45409544434991106,0.4278219048313051,0.44056731202161187,13723.0
68,0.45318260014745637,0.36645468998410174,0.4052301944841226,15096.0
accuracy,0.38175985742927154,0.38175985742927154,0.38175985742927154,0.38175985742927154
macro avg,0.3847507478187003,0.38211578567613524,0.38084870456414344,112225.0
weighted avg,0.38527411287658675,0.38175985742927154,0.38090635804833795,112225.0
