,precision,recall,f1-score,support
37,0.7068097750288036,0.8525453481568168,0.7728674203494348,13672.0
41,0.7070039645082122,0.7853897238727717,0.7441382964631077,14305.0
45,0.5366420901578505,0.7882113525692274,0.6385421573245408,13759.0
35,0.6972128637059725,0.8131742516253483,0.7507420354857859,13997.0
39,0.5880168223278169,0.7645763795185001,0.6647730781105279,14081.0
43,0.6990112284229931,0.8828136023705376,0.7802338269680437,14174.0
31,0.29853510692035695,0.24892944892944893,0.27148489836542505,14245.0
32,0.29434064446249664,0.15294779794568736,0.2012962962962963,14214.0
33,0.36918100958761696,0.23040876649124073,0.28373579545454547,13871.0
28,0.38799600472169254,0.28629815745393633,0.32947798596653555,14925.0
29,0.2844492964580301,0.1643537987104009,0.20833333333333331,14268.0
30,0.2680856455086786,0.14968873797396717,0.1921103999273685,14136.0
36,0.6075133964200206,0.7342565798539341,0.6648989268779635,14514.0
40,0.7077248397541797,0.7522123893805309,0.729290797044704,14238.0
44,0.5599307381517348,0.6565155274832695,0.6043887581337395,13299.0
34,0.6895854398382204,0.7419091650802284,0.714791038909996,14708.0
38,0.6230581080187744,0.6549232158988256,0.6385934006368995,14391.0
42,0.6479148991711806,0.7120929565342131,0.6784896634204681,13942.0
accuracy,0.5747451312912432,0.5747451312912432,0.5747451312912432,0.5747451312912432
macro avg,0.5373895485091461,0.5761803999916048,0.5482326727260397,254739.0
weighted avg,0.5369666594885448,0.5747451312912432,0.5473419492135921,254739.0
