,precision,recall,f1-score,support
37,0.7969293756397134,0.8542276184903452,0.8245843188477424,13672.0
41,0.7408004964318957,0.834533379937085,0.7848783694937542,14305.0
45,0.728719224724987,0.8088523875281634,0.7666976680100583,13759.0
35,0.8025748224832437,0.8640422947774523,0.8321750498864653,13997.0
39,0.6973552453319196,0.8407783538100987,0.7623800631077339,14081.0
43,0.8005600497822029,0.9076478058416819,0.850747255654014,14174.0
31,0.450168433160792,0.38462618462618464,0.41482434887946695,14245.0
32,0.4330723001274813,0.3345996904460391,0.37752024130814416,14214.0
33,0.4869654817104585,0.34071083555619636,0.4009161859518154,13871.0
28,0.4018346631927482,0.49601340033500835,0.4439846467554276,14925.0
29,0.3441289870311952,0.34405663022147465,0.3440928048224862,14268.0
30,0.32723748525198043,0.2746887379739672,0.29866933312822086,14136.0
36,0.7511669412410763,0.7539616921592944,0.7525617220273708,14514.0
40,0.7807330008707354,0.6927236971484759,0.7340999590636745,14238.0
44,0.6712755450885056,0.664410857959245,0.6678255611820724,13299.0
34,0.8229934924078091,0.7738645635028556,0.7976732777349499,14708.0
38,0.7137320854050893,0.6782711416857758,0.6955499340862936,14391.0
42,0.7348846329825479,0.8064122794434084,0.7689887486748059,13942.0
accuracy,0.6466540262778766,0.6466540262778766,0.6466540262778766,0.6466540262778766
macro avg,0.6380629034924656,0.6474678639690418,0.6398983049230276,254739.0
weighted avg,0.6372923294729007,0.6466540262778766,0.6391072124565839,254739.0
