,precision,recall,f1-score,support
1,0.48258367408753594,0.48382933495293046,0.48320570172113125,13172.0
19,0.4916795665634675,0.5765391014975042,0.5307387036134512,13222.0
22,0.5054628091950004,0.42808498038344805,0.4635671342685371,13509.0
25,0.49305015971682636,0.43353829803385713,0.4613830990466958,13173.0
28,0.5228277835587929,0.541091741266743,0.5318029967254325,14857.0
46,0.49488031464026583,0.5110644257703081,0.5028421814173011,14280.0
64,0.512255247217918,0.5397002077767884,0.5256197152561971,13476.0
67,0.545192936559843,0.5324476239141543,0.5387449104892393,15656.0
accuracy,0.5068570658763303,0.5068570658763303,0.5068570658763303,0.5068570658763303
macro avg,0.5059915614424562,0.5057869641994668,0.5047380553172481,111345.0
weighted avg,0.5070192808588958,0.5068570658763303,0.5058311167742102,111345.0
