,precision,recall,f1-score,support
3,0.36714098294479763,0.5025903156731367,0.4243184137629392,14477.0
21,0.3255467765945265,0.41925969620999853,0.3665076704911693,13562.0
24,0.388367613247996,0.449252443933295,0.4165972337943676,13912.0
27,0.37048891734016165,0.3540025995871244,0.36205817954332187,13079.0
30,0.44395816334099847,0.4226694915254237,0.4330523497702688,14160.0
48,0.5068276896361197,0.4743997044698929,0.4900778507098153,13535.0
66,0.475,0.32000898270828654,0.3823963504629008,13359.0
69,0.5364322840050996,0.3613661888088789,0.4318307412962817,15137.0
accuracy,0.4135280207874412,0.4135280207874412,0.4135280207874412,0.4135280207874412
macro avg,0.4267203033887124,0.4129436778645046,0.41335484872888306,111221.0
weighted avg,0.42789240372576687,0.4135280207874412,0.41408343846019835,111221.0
