,precision,recall,f1-score,support
3,0.27106500057319727,0.32665607515369205,0.2962754127118379,14477.0
21,0.21725956682751654,0.14275180651821265,0.17229564366128242,13562.0
24,0.19821324204725724,0.17064404830362276,0.18339835451349995,13912.0
27,0.2181916621548457,0.15406376634299257,0.18060410504615937,13079.0
30,0.17725325114635795,0.16652542372881357,0.17172195317336053,14160.0
48,0.29615804284155517,0.3810121906169191,0.3332687088018612,13535.0
66,0.19799546142208774,0.07837412980013474,0.11229688421730037,13359.0
69,0.2417534722222222,0.44156702120631564,0.31244595068365083,15137.0
accuracy,0.23646613499249242,0.23646613499249242,0.23646613499249242,0.23646613499249242
macro avg,0.22723621240437997,0.23269930770883787,0.22028837660111908,111221.0
weighted avg,0.22751820659368244,0.23646613499249242,0.22218335502629388,111221.0
