,precision,recall,f1-score,support
2,0.399746192893401,0.46545991872922055,0.43010752688172044,13535.0
20,0.38130563798219586,0.5534022394487511,0.4515108924806746,13932.0
23,0.42425283407763653,0.43788115160970076,0.43095927696548836,14102.0
26,0.37582324198002975,0.3835923382724973,0.3796680497925311,13835.0
29,0.5005981755645282,0.4690346083788707,0.48430266203703703,14274.0
47,0.5603630388858462,0.5217074592074592,0.540344788562375,13728.0
65,0.5913470803623049,0.44720542155505355,0.5092734741297041,13723.0
68,0.5804639362087713,0.4243508214096449,0.49028011633246593,15096.0
accuracy,0.4623925150367565,0.4623925150367565,0.4623925150367565,0.4623925150367565
macro avg,0.4767375172443392,0.46282924482639975,0.4645558483977496,112225.0
weighted avg,0.4778007093676915,0.4623925150367565,0.4648061332142537,112225.0
